Date,Max,Min,Average,Precipitation
6/11/1949,88,70,79,0.35
6/12/1949,85,70,77.5,0.02
6/13/1949,87,74,80.5,0.21
6/14/1949,86,76,81,T
6/15/1949,87,76,81.5,0.06
6/16/1949,87,78,82.5,0.02
6/17/1949,87,77,82,T
6/18/1949,85,76,80.5,0.03
6/19/1949,87,78,82.5,T
6/20/1949,87,77,82,0.08
6/21/1949,87,77,82,0.02
6/22/1949,88,76,82,0
6/23/1949,87,76,81.5,0
6/24/1949,87,76,81.5,0.07
6/25/1949,88,76,82,0
6/26/1949,86,75,80.5,0
6/27/1949,88,75,81.5,0.39
6/28/1949,87,73,80,0.21
6/29/1949,87,77,82,0.1
6/30/1949,87,76,81.5,T
7/1/1949,87,75,81,0.01
7/2/1949,88,78,83,0.01
7/3/1949,88,78,83,0.03
7/4/1949,87,79,83,0.03
7/5/1949,88,75,81.5,0.13
7/6/1949,87,77,82,T
7/7/1949,89,76,82.5,0
